# fcst-reason-struct-full wave(batch) 003 输入渲染（由 render_batch.py 从 row_index.parquet 生成，schema v1）
# 每条记录两行：元信息行 + REASON 行。key_quote 必须是 REASON 文本的逐字子串。
# 词表: demand_up/demand_down/price_up/price_down/orders/cost_up/cost_down/fx/impairment/non_recurring/ma_restructuring/epidemic_shock/accounting/core_ops/other
### ordinal=01200 type=扭亏 ts_code=600458.SH end_date=20191231 ann_date=20191031 update_flag=1

### ordinal=01358 type=扭亏 ts_code=000793.SZ end_date=20191231 ann_date=20200122 update_flag=0
REASON: （一）上年同期确认大额的投资损失、计提大额的各项减值准备等；（二）本期未发现各项资产存在大额减值迹象，不计提大额的各项减值准备，部分子公司业绩增加，持有的投资性房地产公允价值变动收益增加，以及转让公司房产及股权获得收益所致。属于非经常性损益的影响金额范围为25,000万元-35,000万元，主要项目为投资性房地产公允价值变动收益、资产处置损益及政府补助等。

### ordinal=01359 type=扭亏 ts_code=000801.SZ end_date=20200930 ann_date=20201015 update_flag=0
REASON: 报告期内，公司业绩增长主要原因：1、智能终端业务：公司面对疫情快速复工复产，抓住企业业务订单机会，出货规模大幅提升，同时，内部降本增效工作取得成效，前三季度智能终端业务销售收入、净利润较去年同期有所增长。2、空管业务：加大市场开拓，军品、军贸合同订单交付同比增加，同时，公司期间费用同比下降，老欠款收回冲减信用减值准备，导致空管业务销售收入、净利润较去年同期有所增长。

### ordinal=01360 type=扭亏 ts_code=000803.SZ end_date=20200630 ann_date=20200715 update_flag=0
REASON: 本期业绩变动的主要原因是公司收购山东十方环保能源有限公司(以下简称“山东十方”)100%的股权,公司投资成本小于取得投资时应享有被投资单位可辨认净资产公允价值,确认非经常性损益人民币2,300万元所影响.公司通过向交易对方发行股份及支付现金方式购买山东十方100%的股权,重大资产重组完成后,优化了公司资产负债结构,恢复和提高了公司持续经营能力.

### ordinal=01361 type=扭亏 ts_code=000806.SZ end_date=20200930 ann_date=20201015 update_flag=0
REASON: 公司业绩变动的主要原因系：报告期内，随着高端电子元器件领域国产化趋势的加强，公司相关产品市场需求扩大，同时公司集中资源增加高毛利品类产品市场份额，从而实现电子元器件业务的收入和净利润的双增长；在变压器行业客户需求回升转暖的契机下，公司及时把握机会抢抓订单，大力开拓新客户，变压器业务收入大幅提高，盈利情况明显改善。另外，公司上年同期对控股股东资金占用款项计提了约4,500万元坏账准备，2019年度对该事项已全额计提坏账准备，故本期无需对该事项进行计提。风险提示1、业绩波动风险目前国内外形势错综复杂，加之新冠肺炎疫情可能出现反弹趋势，前述情况不排除会对公司客户需求、大宗原材料价格造成负面影响，请投资者注意相关风险。2、资金流紧张风险公司因违规对外担保、控股股东资金占用等事项引发多起诉讼仲裁，导致部分银行账户和子公司股权被冻结、对外融资受限，金融机构大幅收缩贷款，融资难度和成本明显增加，加上宏观形势及相关政策影响，公司已有部分合作银行压缩贷款规模、延迟授信，融资面临一定的困难和压力，现金流异常紧张，敬请广大投资者注意投资风险。3、涉及诉讼事项风险目前公司涉及多起诉讼事项，其中大部分因公司违规向大股东提供担保引起。截至目前公司违规担保余额167,522.81万元，相关违规担保事项已全部涉及诉讼，其中处于执行阶段的违规担保案件，若后续法院处置公司资产将导致公司财产流失，敬请广大投资者注意相关风险。4、股票可能会被实施暂停上市的风险公司股票因2018年度、2019年度连续两个会计年度经审计的净利润为负值及2019年度财务报告被出具“无法表示意见”已被实施退市风险警示，根据《深圳证券交易所股票上市规则》第14.1.1的规定，如果公司2020年度经审计的净利润仍为负数，或2020年度财务报告继续被审计机构出具“无法表示意见”，公司股票将在2020年年度报告披露后被实施暂停上市，请投资者注意投资风险。

### ordinal=01362 type=扭亏 ts_code=000807.SZ end_date=20191231 ann_date=20200203 update_flag=0
REASON: 报告期内，受国家实施稳定宏观经济预期、减税降费等稳经济系列政策的影响，国内、国际铝市场价格逐步企稳，云南铝业股份有限公司（以下简称“云铝股份”或“公司”）紧紧抓住了市场企稳的有利时机，持续优化产品结构，加大产销和周边市场开拓力度，准确把握采购节奏，进一步提高氧化铝自产量，有效控制和降低了氧化铝、石油焦等大宗原辅料采购成本；并通过开展“三降三增”等专项活动，实施各项内部挖潜和降本创效措施，持续抓好生产经营和产业发展各项工作，加快推进了昭通水电铝一期项目、鹤庆水电铝一期项目投产达产，为公司增加了新的利润增长点。同时，公司积极争取国家和云南省支持加快水电铝材产业发展、铁路运输、生产经营等扶持政策，公司2019年全年归属于上市公司股东的净利润与2018年相比实现扭亏为盈。

### ordinal=01363 type=扭亏 ts_code=000812.SZ end_date=20200630 ann_date=20200715 update_flag=0
REASON: 公司2020年上半年度归属于上市公司股东的净利润预计盈利1,107.28万元-1,398.67万元,较上年同期大幅增长,主要变动原因有:(一)报告期内,公司烟配板块营业收入和净利润较上年同期增长所致;(二)报告期内,非经常性损益对公司净利润的影响约730.90万元,主要系政府补助收益.

### ordinal=01364 type=扭亏 ts_code=000815.SZ end_date=20200331 ann_date=20200415 update_flag=0
REASON: 2020年第一季度归属于上市公司股东的净利润比上年同期增加,主要系公司采取强有力措施,积极做好疫情防控,连续生产,稳定销售,有效保障了公司正常经营;公司纸产品市场向好,销售价格比上年同期增加;同时,主要原材料价格下降,产品成本比上年同期下降,净利润比上年同期增加.

### ordinal=01365 type=扭亏 ts_code=000816.SZ end_date=20200630 ann_date=20200710 update_flag=0
REASON: 经过逐步的业务、资产整合以及架构优化，公司经营质量提升，成本费用下降，经营状态呈逐步改善。再叠加疫情期间政府对企业的扶持政策，以及上半年主要原材料平均价格有所下跌，推动公司上半年整体经营成果大幅扭转，盈利能力同比增强。

### ordinal=01366 type=扭亏 ts_code=000816.SZ end_date=20200930 ann_date=20201010 update_flag=0
REASON: 因前期业务、资产、架构整合措施的发力，以及本期有色金属采选业务盈利能力的恢复，报告期内公司整体毛利率提高，期间费用率下降，经营能力有效增强，经营业绩同比扭亏为盈。

### ordinal=01367 type=扭亏 ts_code=000829.SZ end_date=20191231 ann_date=20200107 update_flag=0
REASON: 本报告期内，公司按照年初战略规划进一步聚焦轴心业务。与去年同期相比，公司主营业务效益有所增加，新业务模式高效拓展，整体业务规模实现稳步增长。本报告期公司预计营业收入为520亿元~535亿元，同比增长22.35%~25.88%；预计实现归属于上市公司股东的扣除非经常性损益的净利润为1.25亿元~1.36亿元，非经常性损益主要为处置天联华建股权及债权和天富锦业绩补偿。

### ordinal=01368 type=扭亏 ts_code=000837.SZ end_date=20200930 ann_date=20201012 update_flag=1
REASON: 2020年，公司在受到疫情影响后，积极采取应对措施减少损失，复工复产后，抓住重卡、工程机械市场需求旺盛的机遇，抢抓市场，保订单、保交付。同时上半年公司通过机构改革，以及全面推进“CTJ”（创新突破、提高效率、降低成本）活动，加大降本控费力度，提升集团公司的运营和管理效率，前三季度公司经营业绩大幅提升。另外，公司收购控股股东陕西法士特汽车传动集团有限责任公司持有的陕西法士特沃克齿轮有限公司100%股权，增厚了公司的业绩。1-9月预计归母净利润在1.1亿元至1.38亿元之间。非经常性损益对归母净利润的影响：收购子公司沃克齿轮增加归母净利润2,511万元；收到稳岗补贴资金增加归母净利润约4,657万元。

### ordinal=01369 type=扭亏 ts_code=000838.SZ end_date=20200630 ann_date=20200715 update_flag=0
REASON: 公司本报告期归属于上市公司股东的净利润同比有所上升,主要系本期新增交房项目,交房规模较上年同期有所增加,促使销售毛利增加.

### ordinal=01370 type=扭亏 ts_code=000863.SZ end_date=20191231 ann_date=20200123 update_flag=0
REASON: 1、主要系上期经减值测试计提了相关项目门票收益权减值准备及商誉减值损失，本报告期经公司初步减值测试，未发现相关项目门票收益权及商誉存在减值；2、本报告期项目交房结转收入较上期结转收入增加，相应增加本期利润；3、本报告期因前期并购标的原股东补偿股份公允价值变动，相应增加本期税前利润约10,662.59万元；4、莱茵瑞丰4号私募证券投资基金投资收益增加本期税前利润约1,918.53万元。其中3、4项系非经常性损益。

### ordinal=01371 type=扭亏 ts_code=000868.SZ end_date=20191231 ann_date=20200121 update_flag=0
REASON: 1、2019年公司国内、国际市场批量优质订单拉动，整体盈利能力同比提升；2、通过转让所持有的扬州江淮宏运客车有限公司100%股权，获得投资收益。3、主要的非经营性损益影响归母净利润约1.3亿元。包括：①公司控股子公司安徽江淮客车有限公司转让其子公司扬州江淮宏运客车有限公司股权；②收到的政府补助。公司2017年度及2018年度连续两年经审计的归母净利润为负值，公司股票自2019年4月17日起被实施退市风险警示。根据《深圳证券交易所股票上市规则》的相关规定，若公司2019年度经审计的归母净利润为正值，公司将向深圳证券交易所申请撤销对公司股票实施退市风险警示，该事项尚须深圳证券交易所核准。

### ordinal=01372 type=扭亏 ts_code=000890.SZ end_date=20200630 ann_date=20200715 update_flag=0
REASON: 本报告期公司预计业绩较上期增长,主要原因是:1,上年同期亏损8,660.46万元,主要是由于当时全资公司上海摩山商业保理有限公司(以下简称“摩山保理”)转让其对广东中诚实业控股有限公司及其相关方的债权,计提了信用减值损失9,804.74万元.本报告期无此事项发生.2,本报告期,公司重大资产出售暨关联交易实施完成,公司不再持有摩山保理股权.公司按企业会计准则的相关规定确认处置该项长期股权投资,增加利润约3000万元.

### ordinal=01373 type=扭亏 ts_code=000890.SZ end_date=20200930 ann_date=20201015 update_flag=0
REASON: 1、上年同期亏损15,515.88万元，主要是由于当时全资子公司上海摩山商业保理有限公司（以下简称“摩山保理”）转让其对广东中诚实业控股有限公司及其相关方的债权，计提了信用减值损失9,804.74万元。本报告期无此事项发生。2、报告期内，公司重大资产出售暨关联交易实施完成，公司不再持有摩山保理股权。公司按企业会计准则的相关规定确认处置该项长期股权投资，实现处置收益4,540.43万元。3、报告期内，公司全资子公司法尔胜阜宁金属制品有限公司出售了闲置的土地、厂房及配套基础设施，实现收益约1300万元。

### ordinal=01374 type=扭亏 ts_code=000897.SZ end_date=20191231 ann_date=20200123 update_flag=1
REASON: 1、本报告期盈利的主要原因系我公司全资子公司津滨时代所开发的境界梅江H4项目完工，对已完成交付并具备确认收入条件的部分结转主营业务收入所致。2、其他对2019年度业绩产生影响的情况根据规定，公司对截至2019年12月31日的存货进行了减值测试，拟对可能发生资产减值损失的部分存货计提减值准备，将会导致2019年度利润总额减少。（详见公司公告编号：2020-03).公司2017年度、2018年度连续两个会计年度经审计的净利润为负值，公司股票已被深圳证券交易所实施退市风险警示。如果公司2019年度经审计的净利润为正数，且不存在《股票上市规则》规定的实施退市风险警示的其他情况，公司将根据《股票上市规则》的有关规定，向深圳证券交易所申请撤销退市风险警示。该申请尚须深圳证券交易所核准。

### ordinal=01375 type=扭亏 ts_code=000897.SZ end_date=20200331 ann_date=20200415 update_flag=0
REASON: 我公司本期盈利的主要原因系一季度出售全资子公司深圳津鹏公司100%股权,确认投资收益所致,该收益属于非经常性损益,影响本期损益的金额约6900万元.

### ordinal=01376 type=扭亏 ts_code=000897.SZ end_date=20200630 ann_date=20200714 update_flag=0
REASON: 我公司本期盈利的主要原因有:1,本期津汇红树湾B2区完工,确认收入;2,本期出售全资子公司深圳津鹏公司100%股权,确认投资收益;3,本期收回应收账款,冲回坏账准备.其中,属于非经常性损益的金额约为12,700万元.

### ordinal=01377 type=扭亏 ts_code=000897.SZ end_date=20200930 ann_date=20201015 update_flag=0
REASON: 我公司前三季度盈利的主要原因有:1,津汇红树湾B2区完工,确认收入;2,出售全资子公司深圳津鹏公司100%股权,确认投资收益;3,收回应收账款,冲回坏账准备.其中,属于非经常性损益的金额约为12,700万元.

### ordinal=01378 type=扭亏 ts_code=000908.SZ end_date=20200930 ann_date=20201015 update_flag=0
REASON: 1,报告期内,公司业绩增长主要系公司子公司上海景峰制药有限公司将所持有的海门慧聚药业有限公司43.0086%股权转让给湖州富悦柏泽实业投资合伙企业(有限合伙)和湖州富悦信泽实业投资合伙企业(有限合伙),该股权转让确认投资收益约2.2亿元所致,上述投资收益为非经常性损益.2,公司认为报告期内控股子公司大连德泽药业有限公司商誉存在减值迹象,通过一系列减值测试,公司决定对大连德泽药业有限公司计提商誉减值准备.

### ordinal=01379 type=扭亏 ts_code=000911.SZ end_date=20191231 ann_date=20200118 update_flag=0
REASON: 1、报告期内，2019年主要产品机制糖价格同比有所回升，原料蔗含糖份、产糖率同比较大幅度上升，吨糖成本同比下降，糖价和蔗价倒挂的现象得以缓解。同时公司严格控制各项费用开支，有效降低各项成本、费用，制糖业务的亏损同比减少。2、报告期内，公司2019年度非经常性损益影响净利润约5.52亿元。其中:转让广西环江远丰糖业有限责任公司股权获得投资收益约1.7亿元；转让湖北侨丰商贸投资有限公司股权获得投资收益0.22亿元；收到甘蔗“双高”基地土地流转租金补贴2.27亿元,收到兼并重组项目贷款贴息1.00亿元，收到2018/2019榨季制糖企业流贷贴息0.12亿元，收到困难企业社保稳岗返还等0.21亿元。

### ordinal=01380 type=扭亏 ts_code=000911.SZ end_date=20200331 ann_date=20200415 update_flag=0
REASON: 1,报告期内,公司主要产品机制糖价格比去年同期回升,原料蔗含糖分,产糖率同比较大幅度上升,吨糖成本同比下降较大,食糖销售毛利率大幅提升,制糖业务扭亏为盈.2,报告期内,公司下属控股子公司南宁侨虹新材料股份有限公司因疫情临时转产防疫物资熔喷布,纸制品业务的毛利同比增加.

### ordinal=01381 type=扭亏 ts_code=000911.SZ end_date=20200630 ann_date=20200714 update_flag=0
REASON: 1,报告期内,主要产品机制糖销售价格比去年同期回升,原料蔗含糖份,产糖率同比有较大幅度上升,吨糖成本同比下降较大,食糖销售毛利率同比提高,制糖业务扭亏为盈.2,报告期内,公司下属控股子公司侨虹公司转型生产防疫物资熔喷布,舒雅护理用品公司转产口罩,防疫物资贡献了较大利润.

### ordinal=01382 type=扭亏 ts_code=000911.SZ end_date=20200930 ann_date=20201015 update_flag=0
REASON: 1,报告期内,主要产品机制糖销售价格比去年同期回升,原料蔗含糖份,产糖率同比有较大幅度上升,吨糖成本同比下降较大,食糖销售毛利率同比提高,制糖业务扭亏为盈.2,报告期内,公司下属控股子公司南宁侨虹新材料股份有限公司转型生产防疫物资熔喷布,广西舒雅护理用品有限公司新增生产口罩,防疫物资贡献了较大利润.3,报告期内,公司转让南宁市八鲤建材有限公司股权获得投资收益1,776万元.

### ordinal=01383 type=扭亏 ts_code=000918.SZ end_date=20191231 ann_date=20200123 update_flag=0
REASON: 1、报告期内，因公司发展需要，出售了多家子公司股权。2、预计2019年度非经常性损益对净利润的影响金额约为105,000.00万元,主要系出售嘉凯城集团物业服务有限公司、苏州嘉和欣实业有限公司等子公司股权所产生的相关收益。

### ordinal=01384 type=扭亏 ts_code=000927.SZ end_date=20200630 ann_date=20200715 update_flag=0
REASON: 2020年5月,公司与南京知行电动汽车有限公司,天津一汽华利汽车有限公司,天津一汽夏利运营管理有限责任公司在天津签署了《关于天津一汽华利汽车有限公司之产权交易合同补充协议和四方协议书之补充协议(二)》,根据该协议的约定,公司将不再控制华利公司,不再将其纳入合并报表范围,该项交易预计增加2020年上半年利润约7.4亿元;此外公司根据重大资产重组的整体安排计提了岗下员工安置费用约1.1亿元,以上均为非经常性损益.

### ordinal=01385 type=扭亏 ts_code=000927.SZ end_date=20200930 ann_date=20201015 update_flag=0
REASON: 2020年5月,公司与南京知行电动汽车有限公司,天津一汽华利汽车有限公司,天津一汽夏利运营管理有限责任公司在天津签署了《关于天津一汽华利汽车有限公司之产权交易合同补充协议和四方协议书之补充协议(二)》,根据该协议的约定,公司将不再控制华利公司,不再将其纳入合并报表范围,该项交易预计增加2020年利润约7.4亿元;此外公司根据重大资产重组的整体安排计提了岗下员工安置费用约1.1亿元,以上均为非经常性损益.

### ordinal=01386 type=扭亏 ts_code=000929.SZ end_date=20191231 ann_date=20200115 update_flag=0
REASON: 2019年，公司预计经营业绩较2018年实现扭亏为盈主要是由于自2019年年初以来A股市场持续向好，公司证券投资处置及持有收益较上年同期大幅回升所致，预计这部分非经常性损益对净利润的影响金额约为2400万元左右。

### ordinal=01387 type=扭亏 ts_code=000948.SZ end_date=20200930 ann_date=20201015 update_flag=0
REASON: 报告期内,公司加强新业务拓展,持续提升经营管理水平,努力降低新型冠状病毒肺炎疫情的影响;同时公司去年下半年签署尚未在去年末履行完毕的合同在今年前三季度执行完毕;此外,公司正逐步开展“数字云南”,云南新基建等项目,目前已获取少量订单.综上,公司本报告期收入规模同比增长30%左右(具体以公司披露的2020年度第三季度报告数据为准),公司前三季度业绩实现扭亏为盈.

### ordinal=01388 type=扭亏 ts_code=000953.SZ end_date=20200331 ann_date=20200415 update_flag=0
REASON: 1,公司2019年对尿素生产相关实物资产,负债进行置出,公司对该部分亏损资产不再合并报表.2,公司2019年底完成对重庆南松医药科技有限公司的收购工作,公司将其正式纳入合并范围.同时受疫情影响,南松医药产品销量增加,提高公司一季度利润水平.

### ordinal=01389 type=扭亏 ts_code=000953.SZ end_date=20200630 ann_date=20200715 update_flag=0
REASON: 1,公司2019年对尿素生产相关实物资产,负债进行置出,公司对该部分亏损资产不再合并报表.2,公司2019年底完成对重庆南松医药科技有限公司的收购工作,公司将其正式纳入合并范围.同时,疫情因素使南松医药报告期内产品需求增加,产品价格上浮,公司半年度利润水平提高.

### ordinal=01390 type=扭亏 ts_code=000953.SZ end_date=20200930 ann_date=20201015 update_flag=0
REASON: 1、公司2019年对尿素生产相关实物资产、负债进行置出，公司对该部分亏损资产不再合并报表。2、公司2019年底完成对重庆南松医药科技有限公司（以下简称“南松医药”）的收购工作，公司将其正式纳入合并范围。同时，疫情因素使南松医药报告期内产品需求增加，医药中间体产品价格上浮，且南松医药子公司重庆南松凯博生物制药有限公司（以下简称“南松凯博”）通过工艺调整和技术改进及优化等措施，解决了部分生产环节存在的瓶颈，在保证产品质量的前提下产品日产能力得到较大的提升，有效保证了产品订单供应。综上，公司2020年前三季度利润水平得到提高并实现扭亏为盈。公司二级子公司南松凯博为兼顾生产线生产安全及后续生产稳定，于2020年第三季度期间进行年度例行停车检修，南松凯博生产产品产量减少。

### ordinal=01391 type=扭亏 ts_code=000955.SZ end_date=20191231 ann_date=20200120 update_flag=0
REASON: 1、报告期内公司的主营业务盈利能力较上年同期有所增强，整体营业毛利额同比增加1300多万元；同时，公司进一步加强了费用管控，期间费用较上年度减少了近1000万元。2、报告期内资产减值损失同比减少5000多万元，主要系上年末对拟转让的子公司宜昌市欣龙化工新材料有限公司计提了持有待售资产减值损失。3、报告期内公司为了盘活资产，出售子公司宜昌市欣龙熔纺新材料有限公司60%股权获得了投资收益2600多万元，此部分收益属于非经常性损益。

### ordinal=01392 type=扭亏 ts_code=000955.SZ end_date=20200630 ann_date=20200711 update_flag=0
REASON: 报告期内,公司经营业绩较上年同期大幅增长,主要系受全球新冠疫情影响,国内外口罩,防护服,湿巾等医疗和卫生防护用品市场需求激增,公司作为上述医疗防护物资上游原材料无纺布的供应商,产品销售额在市场需求带动下出现超常增加,从而导致营业收入和毛利比上年同期大幅增长.

### ordinal=01393 type=扭亏 ts_code=000955.SZ end_date=20200930 ann_date=20201014 update_flag=0
REASON: 与上年同期相比，公司2020年前三季度和第三季度扭亏为盈，利润增幅较大，主要原因为：医疗卫生防护用品市场需求增加和人们对个人及家庭清洁卫生生活要求的明显提高，刺激无纺布行业快速成长，公司作为国内无纺布行业的优秀供应商，产品销售额和毛利在市场需求带动下出现了大幅上涨。

### ordinal=01394 type=扭亏 ts_code=000965.SZ end_date=20200331 ann_date=20200415 update_flag=0
REASON: 报告期内,公司全资子公司房地产项目满足收入结转条件的售房收入增加,导致本期业绩同比扭亏为盈.

### ordinal=01395 type=扭亏 ts_code=000965.SZ end_date=20200630 ann_date=20200429 update_flag=0
REASON: 报告期内，公司房地产开发项目满足结转收入条件的项目增加，导致本期业绩扭亏为盈。

### ordinal=01396 type=扭亏 ts_code=000965.SZ end_date=20200930 ann_date=20200828 update_flag=0
REASON: 报告期内，公司开发项目中满足结转收入条件的房屋增加，导致公司本期业绩同比增加。

### ordinal=01397 type=扭亏 ts_code=000969.SZ end_date=20191231 ann_date=20200115 update_flag=0
REASON: 主要原因为：一是公司产业结构调整初见成效，非晶、焊接业务板块大幅度减亏；二是公司加强内部管理，严控成本费用，整体毛利率有所提升，业绩贡献同比有较大幅度改善；三是资本市场好转，公司之控股公司安泰创业投资（深圳）有限公司所持上市公司股票市值有较大幅度提升，对公司经营业绩有所贡献；四是公司关于安泰生物股权转让诉讼案件二审判决，根据本次诉讼事项判决结果，2019年公司将相应冲回已确认的预计负债；五是为应对市场变化，公司积极调整产品结构，导致部分原有生产设备不再适用，对相关固定资产计提了减值准备。

### ordinal=01398 type=扭亏 ts_code=000971.SZ end_date=20200930 ann_date=20201015 update_flag=0
REASON: 1、报告期内，公司主营业务保持稳定,经营业绩预计无重大变化，净利润较上年同期略有增长。2、报告期内，非经常性损益对公司净利润影响金额预计约为亏损1,500~2,000万元。主要原因是：公司全资子公司上海莹悦网络科技有限公司2019年度业绩未达到公司收购时的承诺，其原股东应向公司补偿的股份在公司完成回购注销之前，其价值在报告期内受到股票公允价值变动的影响。该项目属于非经常性损益项目，扣除所得税后对净利润的影响金额预计为亏损1,500~2,000万元。公司2018年度、2019年度连续两个会计年度经审计的净利润均为负值，公司股票已被深圳证券交易所实施退市风险警示。若公司2020年度继续亏损，公司股票自2020年年度报告公告后将存在被暂停上市交易的风险。公司董事会敬请广大投资者谨慎投资，注意投资风险。

### ordinal=01399 type=扭亏 ts_code=000972.SZ end_date=20191231 ann_date=20200118 update_flag=0
REASON: 业绩扭亏为盈的主要原因为：1、新疆生产建设兵团第十二师五一农场对公司及公司下属全资子公司新疆中基红色番茄产业有限公司、公司下属全资孙公司新疆中基中番种业有限责任公司、公司下属全资子公司新疆中基天然植物纯化高新技术研究院有限公司所属部分土地及地上附着物进行有偿征收取得收益；2、下属子公司石河子中基北泉番茄制品有限责任公司以资产抵偿债务取得收益；3、公司进一步强化经营管理，提升管理质量，费用较上年同期相比有一定幅度的下降。

### ordinal=01400 type=扭亏 ts_code=000981.SZ end_date=20200630 ann_date=20200715 update_flag=0
REASON: 报告期内，面对严峻的新冠肺炎疫情与错综复杂的国内外经济形势，公司全体员工迎难而上，加快复工复产进度，在完成各项疫情防控工作的同时，贯彻落实公司的发展战略，保障了主营业务的稳定发展，确保了房地产项目在报告期内如期交付，其结转收入产生经营利润，提升了公司的盈利水平。

### ordinal=01401 type=扭亏 ts_code=000981.SZ end_date=20200930 ann_date=20201015 update_flag=0
REASON: 报告期内，公司在完成各项疫情防控工作的同时，贯彻落实公司的发展战略，保障了主营业务的稳定发展，确保了房地产项目在报告期内如期交付，其结转收入产生经营利润提升了公司的盈利水平，使得报告期实现扭亏为盈。

### ordinal=01402 type=扭亏 ts_code=000982.SZ end_date=20200331 ann_date=20200415 update_flag=0
REASON: 公司2019年实施破产重整,公司体内生产厂房,设备已全部剥离,仅保留东方羊绒有限公司,江阴绒耀进出口有限公司两个贸易型子公司.报告期,公司轻资产运营,相关成本,费用较上年同期下降幅度较大.

### ordinal=01403 type=扭亏 ts_code=000982.SZ end_date=20200630 ann_date=20200714 update_flag=0
REASON: 1,随着公司2019年度重整执行完毕,报告期公司轻资产运营,相关成本费用较同期大幅降低,为公司业绩带来积极影响.2,报告期,公司加大对应收款项的催收力度,期初单独进行减值测试的应收款项减值准备转回930.26万元,增加报告期利润930.26万元.

### ordinal=01404 type=扭亏 ts_code=000982.SZ end_date=20200930 ann_date=20201014 update_flag=0
REASON: 1、随着公司2019年度重整执行完毕，报告期公司轻资产运营，相关成本费用较同期大幅降低，为公司业绩带来积极影响。2、报告期，公司加大对应收款项的催收力度，期初单独进行减值测试的应收款项收回导致减值准备转回1,807.36万元，增加报告期利润1,807.36万元。

### ordinal=01405 type=扭亏 ts_code=000993.SZ end_date=20191231 ann_date=20200123 update_flag=0
REASON: 1、本报告期宁德市区域内1-8月降水量较上年增加且分布均衡，水能利用率高，水力发电量较上年同期增加。2、本报告期风电行业投产机组较上年同期增加，且风机年利用小时数提高，风力发电量较上年同期增加。3、本报告期确认的参股行业的投资收益约700万元，较上年同期-32568.75万元增加约33268.75万元。4、本报告期对公司净利润产生重大影响非经常性损益为公司将持有的子公司武汉楚都房地产有限公司100%股权转让，确认转让投资收益4925万元。

### ordinal=01406 type=扭亏 ts_code=000995.SZ end_date=20191231 ann_date=20200203 update_flag=0
REASON: 2019年4月12日，公司控股股东、实际控制人发生变更，董事会于2019年4月29日完成改组，新任管理团队通过积极推出新产品、开拓新市场、开发新客户等多种方式并举有效提升主营业务收入，同时积极推行开源节流、降本增效等优化管理方式，从而对公司2019年业绩产生正面影响。本报告期，预计公司非经常性损益约为4,000万元—4,800万元，主要由债务重组等事项产生。

### ordinal=01407 type=扭亏 ts_code=000995.SZ end_date=20200630 ann_date=20200715 update_flag=0
REASON: 受新冠疫情影响一季度销售几乎停滞,二季度公司生产和经营受新冠疫情影响减弱,二季度市场明显回暖.随着消费者对公司产品逐渐认可,公司新产品也在二季度上市,加之招商效果逐步显现,公司上半年主营业务收入比去年同期显著提升.

### ordinal=01408 type=扭亏 ts_code=000995.SZ end_date=20200930 ann_date=20201015 update_flag=0
REASON: 受新冠疫情影响一季度销售几乎停滞，二季度、三季度公司生产和经营受新冠疫情影响减弱，市场明显回暖。随着消费者对公司产品的逐渐认可，公司新产品也在二季度上市，招商工作也在稳步推进。公司持续进行的品牌形象重塑工作以及大力进行的市场推广活动导致销售费用投入较大，公司第三季度归属于上市公司股东的净利润比去年同期有所下降。风险提示:公司于2020年9月30日收到中国证券监督管理委员会甘肃监管局出具的《行政处罚决定书》[（2020）2号]（以下简称“决定书”）。根据《行政处罚决定书》，公司被中国证券监督管理委员会甘肃监管局2019年4月12日立案调查事项“现已调查、审理终结”。公司已向深圳证券交易所报送更新后的恢复上市资料。深圳证券交易所上市委员会对公司能否恢复上市进行初步审核和最终审核，公司股票能否恢复上市尚存在不确定性，公司股票仍存在可能终止上市的风险，最终以深交所作出的是否同意公司股票恢复上市的决定为准。

### ordinal=01409 type=扭亏 ts_code=000998.SZ end_date=20201231 ann_date=20201031 update_flag=1
REASON: 本报告期公司业绩变动的主要原因为巴西参股公司经营状况好转,权益法确认的投资收益增加.非经常性损益主要来源于政府补助及美元贷款汇兑损益等.

### ordinal=01410 type=扭亏 ts_code=001896.SZ end_date=20191231 ann_date=20200122 update_flag=0
REASON: 上网电量及结算电价同比上升、燃煤采购单价同比下降，公司火电业务利润同比增加。

### ordinal=01411 type=扭亏 ts_code=002005.SZ end_date=20191231 ann_date=20200123 update_flag=0
REASON: 公司2019年业绩变动主要受以下因素综合影响：1、公司出售LED国内照明大部分业务以及子公司中山威斯达的股权形成较大的股权及资产处置收益（非经常性损益）。2、公司按照权益法确认对参股公司雷士国际控股有限公司（以下简称“雷士国际”）的投资收益与预计股权减值损失扎差计算后预计会有净收益。3、公司LED芯片业务录得持续亏损及正式关停产生额外支出；小家电业务及照明业务营业收入及毛利同比下降；全年融资费用同比下降。报告期内，公司预计非经常性损益对净利润的影响金额约为6.84亿元，主要是公司出售LED国内照明大部分业务以及子公司中山威斯达的股权产生较大的股权及资产处置收益，以及计入当期损益的政府补助等因素的影响。

### ordinal=01412 type=扭亏 ts_code=002006.SZ end_date=20200630 ann_date=20200429 update_flag=0
